instance-type,timestamp,duration,energy
A1,2023-07-06T00:00:00.000Z,60,0.0000688168330618521
A1,2023-07-06T00:01:00.000Z,60,0.00004211264853470879
A1,2023-07-06T00:02:00.000Z,60,0.00008056667425379516
A1,2023-07-06T00:03:00.000Z,60,0.00004424898329688026
A1,2023-07-06T00:04:00.000Z,60,0.00012008886735396726
A1,2023-07-06T00:05:00.000Z,60,0.00008911201330248101
A1,2023-07-06T00:06:00.000Z,60,0.00006454416353750917
A1,2023-07-06T00:07:00.000Z,60,0.000121157034735053
A1,2023-07-06T00:08:00.000Z,60,0.00009445285020790969
A1,2023-07-06T00:09:00.000Z,60,0.000060271494013166244
A1,2023-07-06T00:10:00.000Z,60,0.00007415766996728076
A1,2023-07-06T00:11:00.000Z,60,0.00006454416353750917
A1,2023-07-06T00:12:00.000Z,60,0.00003997631377253732
A1,2023-07-06T00:13:00.000Z,60,0.000121157034735053
A1,2023-07-06T00:14:00.000Z,60,0.00006454416353750917
A1,2023-07-06T00:15:00.000Z,60,0.0001382477128324247
A1,2023-07-06T00:16:00.000Z,60,0.00010193002187550978
A1,2023-07-06T00:17:00.000Z,60,0.00011261169568636713
A1,2023-07-06T00:18:00.000Z,60,0.00009018018068356675
A1,2023-07-06T00:19:00.000Z,60,0.000045317150677965995
A1,2023-07-06T00:20:00.000Z,60,0.0000784303394916237
A1,2023-07-06T00:21:00.000Z,60,0.00010299818925659552
A1,2023-07-06T00:22:00.000Z,60,0.00008804384592139529
A1,2023-07-06T00:23:00.000Z,60,0.00011795253259179578
A1,2023-07-06T00:24:00.000Z,60,0.0000688168330618521
A1,2023-07-06T00:25:00.000Z,60,0.00009552101758899541
A1,2023-07-06T00:26:00.000Z,60,0.00011688436521071006
A1,2023-07-06T00:27:00.000Z,60,0.00012756603902156735
A1,2023-07-06T00:28:00.000Z,60,0.00012970237378373886
A1,2023-07-06T00:29:00.000Z,60,0.000046385318059051716
A2,2023-07-06T00:00:00.000Z,60,0.0000784303394916237
A2,2023-07-06T00:01:00.000Z,60,0.00011581619782962431
A2,2023-07-06T00:02:00.000Z,60,0.00009231651544573822
A2,2023-07-06T00:03:00.000Z,60,0.00010620269139985273
A2,2023-07-06T00:04:00.000Z,60,0.00009872551973225258
A2,2023-07-06T00:05:00.000Z,60,0.00012329336949722444
A2,2023-07-06T00:06:00.000Z,60,0.00010513452401876699
A2,2023-07-06T00:07:00.000Z,60,0.00007949850687270943
A2,2023-07-06T00:08:00.000Z,60,0.000059203326632080516
A2,2023-07-06T00:09:00.000Z,60,0.00008804384592139529
A2,2023-07-06T00:10:00.000Z,60,0.00004424898329688026
A2,2023-07-06T00:11:00.000Z,60,0.00004745348544013746
A2,2023-07-06T00:12:00.000Z,60,0.00006454416353750917
A2,2023-07-06T00:13:00.000Z,60,0.00011795253259179578
A2,2023-07-06T00:14:00.000Z,60,0.0001414522149756819
A2,2023-07-06T00:15:00.000Z,60,0.00012329336949722444
A2,2023-07-06T00:16:00.000Z,60,0.00011581619782962431
A2,2023-07-06T00:17:00.000Z,60,0.00009552101758899541
A2,2023-07-06T00:18:00.000Z,60,0.00008377117639705237
A2,2023-07-06T00:19:00.000Z,60,0.00007308950258619504
A2,2023-07-06T00:20:00.000Z,60,0.00012970237378373886
A2,2023-07-06T00:21:00.000Z,60,0.00006454416353750917
A2,2023-07-06T00:22:00.000Z,60,0.00005599882448882331
A2,2023-07-06T00:23:00.000Z,60,0.00012008886735396726
A2,2023-07-06T00:24:00.000Z,60,0.00007202133520510931
A2,2023-07-06T00:25:00.000Z,60,0.00012222520211613872
A2,2023-07-06T00:26:00.000Z,60,0.00004318081591579452
A2,2023-07-06T00:27:00.000Z,60,0.00005706699186990905
A2,2023-07-06T00:28:00.000Z,60,0.0001083390261620242
A2,2023-07-06T00:29:00.000Z,60,0.00009231651544573822
